lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
e04,,,,,,,,,,,,,,,,,,,,,
ㄏㄏ,,,,,,,,,,,,,,,,,,,,,
鬱鬱寡歡,,,,,,,,,,,,,,,,,,,,,
鬱鬱不樂,,,,,,,,,,,,,,,,,,,,,
鬱結,,,,,,,,,,,,,,,,,,,,,
鬱悶,,,撞牆,,抽菸,,,,"想發洩心情,想罵人,看書,不爽,眉頭深鎖",,"喝酒,吹冷氣,淋雨",,,,,,,,,"喝酒,大吃大喝,跑步,啜泣,氣血循環差,煩悶,想哭,沒精神,沒食慾,難過,臉色難看,想不開",
鬱悒,,,,,,,,,,,,,,,,,,,,,
鬱卒,,餓,,,,,,,"悶,唱歌,發洩,睡覺",,搞自閉,,,,,,,,,"哀傷,想哭,想唱歌,悲傷,憂鬱,沒自信,找人唱歌,難過,哭泣,唱歌",
鬱,,,,,,,,,,,,,,,,,,,,,
驢,,,,,,,,,,,,,,,,,,,,,
讚譽,,,,,,,,,,,,,,,,,,,,,
讚賞,,,,,,,,,,,,,,,,,,,,掌聲,
讚歎,,,,,,,,,,,,,,,,,,,,,
讚嘆,,,,,,,,,,,,,,,,,,,,,
讚揚,,,,,,,,,,,,,,,,,,,,,
讚美,,"覺得很滿意,激賞人家,要鼓勵對方",,,,,,,,,,,,,,,,,,"開心,滿意,害羞,驕傲",
讚佩,,,,,,,,,,,,,,,,,,,,,
讚不絕口,,,,,,,,,,,,,,,,,,,,,
讚,,,,,,,,,比大拇指,,,,,,,,,,,,
矚望,,,,,,,,,,,,,,,,,,,,,
齷齪,,,,,,,,,,,,,,,,,,,,,
靈感,,"寫小說,沉思",,,,,,,,,"寫作,編曲錄音",,,,,"寫小說,寫歌,寫作文,作文","彩繪,情歌中,生活,情歌,天",,,"好音樂,曠世鉅作,文章,創作",
靈敏,,,,,,,,,,,,,,,,,,,,,
靈活,,,,,,,,,,,,,,,,,,,,,
靈巧,,,,,,,,,,,,,,,,,,,,,
艷羨,,,,,,,,,,,,,,,,,,,,,
體諒,,"女朋友,和平,朋友",,,,,,,幸福,,,,,,,,愛情,,,窩心,
體會,,,,,,,,,,,,,,,,,,,,,
體貼,,"女朋友,女友,女人,情人,人緣,幸福的家庭,很多女友,好老公,正妹,堅固的友誼,得體的應對,愛,我的愛,朋友,老婆,有男朋友,很正的女朋友,家人支持,更多的美女,好男友",,,,關心,,,,,,,,,,,愛情,,"有禮貌,仁愛","女人,溫柔,愛你,喜歡,貼心,帥,善解人意,幸福,快樂,滿足,好感",
體惜,,,,,,,,,,,,,,,,,,,,,
體面,,工作,,,,,,,,,,,,,,,,,,,
體恤,,,,,,,,,,,,,,,,,,,莊敬,,
驚懼,,,,,,,,,,,,,,,,,,,,,
驚擾,,,,,,,,,,,,,,,,,,,,,
驚駭,,,,,,,,,,,,,,,,,,,,,
驚險,,,,,,,,,,,,,,,,,,,,,
驚歎,,,,,,,,,,,,,,,,,,,,,
驚魂未定,,,,,,,,,,,,,,,,,,,,,
驚疑,,,,,,,,,,,,,,,,,,,,,
驚嘆,,,,,,,,,,,,,,,,,,,,,
驚詫,,,,,,,,,,,,,,,,,,,,,
驚羨,,,,,,,,,,,,,,,,,,,,,
驚慌失措,,告白,,,,,,,,,,,,,,,,,,,
驚慌,,,冒失,,,,,,,,,,,,,,,,/c/en/specie,,
驚愕,,,,,,,,,,,,,,,,,,,,,
驚惶失措,,,,,,,,,,,,,,,,,,,,,
驚惶,,,,,,,,,,,,,,,,,,,,,
驚喜萬分,,,,,,,,,,,,,,,,,,,,,
驚喜交集,,,,,,,,,,,,,,,,,,,,,
驚喜,,,,,,,,,"禮物,送生日禮物,女生尖叫,心悸",,,,,,,,"禮物,第一次,內幕,箱子",,,"興奮,感動,開心,喜怒無常",
